URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,target
140.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,104.0,0.7428571428571429,19.0,0.1357142857142857,2.0,1.0,0.0,0.0,0.12142857142857143,1.0,1
28.0,20.0,0.0,6.0,1.0,0.0,0.0,0.0,22.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,1.0,0
23.0,16.0,0.0,5.0,1.0,0.0,0.0,0.0,18.0,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.0,1
35.0,26.0,0.0,2.0,1.0,0.0,0.0,0.0,22.0,0.6285714285714286,6.0,0.17142857142857143,0.0,0.0,0.0,0.0,0.2,1.0,1
32.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,0.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,1.0,1
25.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,20.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1
37.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,27.0,0.7297297297297297,4.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.16216216216216217,1.0,1
31.0,22.0,0.0,3.0,1.0,0.0,0.0,0.0,23.0,0.7419354838709677,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.22580645161290322,1.0,1
31.0,24.0,0.0,3.0,1.0,0.0,0.0,0.0,26.0,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,1
36.0,28.0,0.0,6.0,1.0,0.0,0.0,0.0,30.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0
18.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,1.0,0
26.0,18.0,0.0,2.0,1.0,0.0,0.0,0.0,21.0,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,1.0,0
31.0,24.0,0.0,3.0,2.0,0.0,0.0,0.0,25.0,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.0,1
24.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,19.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,1
23.0,15.0,0.0,3.0,1.0,0.0,0.0,0.0,18.0,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,1.0,0
21.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,16.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,1
26.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,20.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,1
35.0,27.0,0.0,2.0,1.0,0.0,0.0,0.0,30.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0
24.0,16.0,0.0,3.0,1.0,0.0,0.0,0.0,18.0,0.75,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.20833333333333334,1.0,0
92.0,16.0,0.0,3.0,1.0,1.0,3.0,0.03260869565217391,40.0,0.43478260869565216,39.0,0.42391304347826086,0.0,0.0,0.0,0.0,0.14130434782608695,1.0,1
35.0,27.0,0.0,3.0,1.0,0.0,0.0,0.0,30.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0
37.0,28.0,0.0,3.0,1.0,0.0,0.0,0.0,30.0,0.8108108108108109,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.16216216216216217,1.0,1
16.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,1
52.0,45.0,0.0,3.0,3.0,0.0,0.0,0.0,41.0,0.7884615384615384,1.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,1
20.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,15.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0
34.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,21.0,0.6176470588235294,6.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.20588235294117646,1.0,1
64.0,25.0,0.0,4.0,1.0,0.0,0.0,0.0,37.0,0.578125,16.0,0.25,2.0,1.0,1.0,0.0,0.171875,0.0,1
55.0,47.0,0.0,2.0,2.0,0.0,0.0,0.0,27.0,0.4909090909090909,18.0,0.32727272727272727,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,1
25.0,17.0,0.0,2.0,1.0,0.0,0.0,0.0,20.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0
28.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,21.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0
41.0,33.0,0.0,3.0,1.0,0.0,0.0,0.0,36.0,0.8780487804878049,0.0,0.0,0.0,0.0,0.0,0.0,0.12195121951219512,1.0,0
55.0,46.0,0.0,3.0,2.0,0.0,0.0,0.0,45.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,1
43.0,34.0,0.0,3.0,1.0,0.0,0.0,0.0,29.0,0.6744186046511628,6.0,0.13953488372093023,0.0,0.0,0.0,0.0,0.18604651162790697,1.0,1
46.0,37.0,0.0,3.0,1.0,0.0,0.0,0.0,21.0,0.45652173913043476,19.0,0.41304347826086957,0.0,0.0,0.0,0.0,0.13043478260869565,1.0,1
34.0,26.0,0.0,9.0,1.0,0.0,0.0,0.0,27.0,0.7941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.20588235294117646,1.0,0
48.0,39.0,0.0,2.0,2.0,0.0,0.0,0.0,41.0,0.8541666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,1.0,1
20.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,15.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1
21.0,13.0,0.0,5.0,1.0,0.0,0.0,0.0,15.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0
25.0,17.0,0.0,3.0,2.0,0.0,0.0,0.0,19.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,0
21.0,13.0,0.0,3.0,1.0,0.0,0.0,0.0,16.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,1.0,0
29.0,21.0,0.0,5.0,1.0,0.0,0.0,0.0,24.0,0.8275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,1.0,0
32.0,24.0,0.0,3.0,1.0,0.0,0.0,0.0,25.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,1.0,0
36.0,27.0,0.0,3.0,1.0,0.0,0.0,0.0,27.0,0.75,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,1
71.0,39.0,0.0,3.0,5.0,0.0,0.0,0.0,55.0,0.7746478873239436,1.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.2112676056338028,1.0,1
48.0,41.0,0.0,2.0,1.0,0.0,0.0,0.0,26.0,0.5416666666666666,17.0,0.3541666666666667,0.0,0.0,0.0,0.0,0.10416666666666667,0.0,1
21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.19047619047619047,10.0,0.47619047619047616,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1
89.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,71.0,0.797752808988764,9.0,0.10112359550561797,0.0,0.0,0.0,2.0,0.10112359550561797,1.0,1
31.0,23.0,0.0,2.0,1.0,0.0,0.0,0.0,26.0,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,1.0,0
23.0,15.0,0.0,3.0,2.0,0.0,0.0,0.0,17.0,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,1.0,0
22.0,15.0,0.0,3.0,1.0,0.0,0.0,0.0,17.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,1
46.0,39.0,0.0,3.0,3.0,0.0,0.0,0.0,35.0,0.7608695652173914,1.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.21739130434782608,0.0,1
22.0,14.0,0.0,6.0,1.0,0.0,0.0,0.0,16.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,1.0,0
30.0,23.0,0.0,3.0,1.0,0.0,0.0,0.0,25.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1
22.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,17.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,1
18.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,0.5555555555555556,3.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.2777777777777778,1.0,0
24.0,16.0,0.0,5.0,1.0,0.0,0.0,0.0,19.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,1.0,0
31.0,23.0,0.0,2.0,1.0,0.0,0.0,0.0,25.0,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,1.0,0
47.0,39.0,0.0,3.0,1.0,0.0,0.0,0.0,42.0,0.8936170212765957,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,1.0,0
36.0,28.0,0.0,3.0,1.0,0.0,0.0,0.0,31.0,0.8611111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,1.0,0
36.0,28.0,0.0,3.0,1.0,0.0,0.0,0.0,29.0,0.8055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,1.0,0
45.0,28.0,0.0,2.0,1.0,0.0,0.0,0.0,36.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1
43.0,34.0,0.0,3.0,1.0,0.0,0.0,0.0,36.0,0.8372093023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.16279069767441862,1.0,1
24.0,16.0,0.0,3.0,2.0,0.0,0.0,0.0,18.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0
38.0,31.0,0.0,4.0,1.0,0.0,0.0,0.0,27.0,0.7105263157894737,4.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.18421052631578946,0.0,1
33.0,25.0,0.0,6.0,1.0,0.0,0.0,0.0,27.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0
30.0,22.0,0.0,5.0,1.0,0.0,0.0,0.0,23.0,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,1.0,0
48.0,41.0,0.0,2.0,1.0,0.0,0.0,0.0,22.0,0.4583333333333333,21.0,0.4375,0.0,0.0,0.0,0.0,0.10416666666666667,0.0,1
27.0,19.0,0.0,6.0,1.0,0.0,0.0,0.0,21.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,0
23.0,15.0,0.0,4.0,1.0,0.0,0.0,0.0,17.0,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,1.0,0
77.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,63.0,0.8181818181818182,2.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.15584415584415584,0.0,1
26.0,18.0,0.0,5.0,1.0,0.0,0.0,0.0,21.0,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,1.0,0
98.0,26.0,0.0,3.0,0.0,0.0,0.0,0.0,79.0,0.8061224489795918,6.0,0.061224489795918366,3.0,1.0,1.0,1.0,0.1326530612244898,1.0,1
27.0,19.0,0.0,2.0,1.0,0.0,0.0,0.0,22.0,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,1.0,0
39.0,31.0,0.0,3.0,1.0,0.0,0.0,0.0,34.0,0.8717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,1.0,0
40.0,32.0,0.0,3.0,1.0,0.0,0.0,0.0,35.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0
29.0,22.0,0.0,3.0,1.0,0.0,0.0,0.0,24.0,0.8275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,1
24.0,16.0,0.0,4.0,1.0,0.0,0.0,0.0,19.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,1.0,0
30.0,22.0,0.0,6.0,1.0,0.0,0.0,0.0,24.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0
32.0,24.0,0.0,3.0,1.0,0.0,0.0,0.0,26.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,1.0,0
31.0,23.0,0.0,5.0,1.0,0.0,0.0,0.0,25.0,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,1.0,0
30.0,22.0,0.0,3.0,1.0,0.0,0.0,0.0,25.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0
25.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,19.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,0
26.0,18.0,0.0,5.0,1.0,0.0,0.0,0.0,19.0,0.7307692307692307,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0
32.0,23.0,0.0,3.0,1.0,0.0,0.0,0.0,25.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,1.0,1
25.0,17.0,0.0,5.0,1.0,0.0,0.0,0.0,19.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,0
26.0,18.0,0.0,6.0,1.0,0.0,0.0,0.0,20.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0
32.0,25.0,0.0,3.0,2.0,0.0,0.0,0.0,25.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,1
28.0,20.0,0.0,5.0,1.0,0.0,0.0,0.0,22.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,1.0,0
25.0,17.0,0.0,9.0,1.0,0.0,0.0,0.0,19.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,0
24.0,16.0,0.0,3.0,1.0,0.0,0.0,0.0,19.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,1.0,0
28.0,20.0,0.0,2.0,1.0,0.0,0.0,0.0,23.0,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,1.0,0
24.0,16.0,0.0,3.0,1.0,0.0,0.0,0.0,18.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0
30.0,22.0,0.0,2.0,2.0,0.0,0.0,0.0,23.0,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,1.0,0
36.0,28.0,0.0,2.0,1.0,0.0,0.0,0.0,30.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0
29.0,21.0,0.0,2.0,1.0,0.0,0.0,0.0,24.0,0.8275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,1.0,0
42.0,33.0,0.0,4.0,1.0,0.0,0.0,0.0,36.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1
74.0,29.0,0.0,3.0,0.0,0.0,0.0,0.0,59.0,0.7972972972972973,2.0,0.02702702702702703,2.0,1.0,1.0,1.0,0.17567567567567569,1.0,1
31.0,23.0,0.0,3.0,1.0,0.0,0.0,0.0,25.0,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,1.0,0
38.0,30.0,0.0,3.0,1.0,0.0,0.0,0.0,33.0,0.868421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,1.0,0
37.0,29.0,0.0,3.0,1.0,0.0,0.0,0.0,32.0,0.8648648648648649,0.0,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,1.0,0
24.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,18.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1
19.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,14.0,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,1.0,0
24.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,19.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,1.0,0
21.0,14.0,0.0,3.0,1.0,0.0,0.0,0.0,16.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,1
33.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0,27.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,1
31.0,23.0,0.0,6.0,1.0,0.0,0.0,0.0,25.0,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,1.0,0
24.0,16.0,0.0,6.0,1.0,0.0,0.0,0.0,19.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,1.0,0
25.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,19.0,0.76,1.0,0.04,0.0,0.0,0.0,0.0,0.2,1.0,0
31.0,22.0,0.0,3.0,1.0,0.0,0.0,0.0,24.0,0.7741935483870968,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.1935483870967742,1.0,1
47.0,21.0,0.0,3.0,1.0,0.0,0.0,0.0,38.0,0.8085106382978723,0.0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,1.0,1
47.0,24.0,0.0,3.0,1.0,0.0,0.0,0.0,38.0,0.8085106382978723,1.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.1702127659574468,1.0,1
29.0,18.0,0.0,4.0,1.0,0.0,0.0,0.0,21.0,0.7241379310344828,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551724,1.0,1
29.0,22.0,0.0,3.0,2.0,0.0,0.0,0.0,22.0,0.7586206896551724,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.20689655172413793,0.0,1
71.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,59.0,0.8309859154929577,6.0,0.08450704225352113,0.0,0.0,0.0,0.0,0.08450704225352113,1.0,1
59.0,52.0,0.0,3.0,2.0,0.0,0.0,0.0,48.0,0.8135593220338984,0.0,0.0,0.0,0.0,0.0,0.0,0.1864406779661017,0.0,1
31.0,24.0,0.0,2.0,3.0,0.0,0.0,0.0,24.0,0.7741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.22580645161290322,0.0,1
41.0,34.0,0.0,6.0,1.0,0.0,0.0,0.0,35.0,0.8536585365853658,0.0,0.0,0.0,0.0,0.0,0.0,0.14634146341463414,0.0,1
25.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,19.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,1
22.0,14.0,0.0,5.0,1.0,0.0,0.0,0.0,16.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,1.0,0
59.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,32.0,0.5423728813559322,18.0,0.3050847457627119,0.0,0.0,0.0,0.0,0.15254237288135594,0.0,1
33.0,25.0,0.0,5.0,1.0,0.0,0.0,0.0,27.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0
33.0,25.0,0.0,2.0,1.0,0.0,0.0,0.0,26.0,0.7878787878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,1.0,0
25.0,17.0,0.0,6.0,1.0,0.0,0.0,0.0,19.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,0
33.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,27.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0
33.0,26.0,0.0,3.0,2.0,0.0,0.0,0.0,26.0,0.7878787878787878,1.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,1
119.0,44.0,0.0,3.0,2.0,0.0,0.0,0.0,86.0,0.7226890756302521,16.0,0.13445378151260504,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1
21.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,1.0,0.38095238095238093,1.0,1
